id,name,category_primary,region,tier,tier_label,sub_tier,sub_tier_label,current_lat,current_lon,gt_lat,gt_lon,gt_confidence,gt_reasoning,gt_model,pedestrian_entry_lat,pedestrian_entry_lon,pedestrian_entry_confidence,car_entry_lat,car_entry_lon,car_entry_confidence,car_entry_reasoning,entry_mode,cv_gt_lat,cv_gt_lon,cv_confidence,cv_model,cv_disagreement_m,full_address,offset_haversine_m,offset_euclidean_m,offset_manhattan_m,place_complexity,pin_ambiguity,should_move,multipin_candidate_score,multipin_candidate_reasons,multipin_candidate,vehicle_entry_lat,vehicle_entry_lon
08f489d59ab606c803517ccee128ff0f,Chateau Burg RV Resort,rv_park,TX,3,open_space,3b,large_outdoor,30.237558,-98.9018371,30.23726138942092,-98.9018371,0.9,"The pin is placed at the main entrance area where the parking lot is located, which serves as the primary access point for visitors.",gpt-4o-mini,,,,30.23726138942092,-98.9018371,0.9,,shared,,,,,,"3255 S State Highway 16, Fredericksburg, TX, 78624, US",32.981591582584514,33.01868966291778,33.01868966291778,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f4468143b34d0d03cca189ab50c32b,Arrowhead RV Park,rv_park,TX,3,open_space,3b,large_outdoor,30.7365515,-95.056472,30.73625640637955,-95.056472,0.9,"The pin is placed at the main access point of the RV park, which appears to be the entrance area where vehicles can enter and park.",gpt-4o-mini,,,,30.73625640637955,-95.056472,0.9,,shared,,,,,,"2875 FM 2457, Livingston, TX, 77351-8351, US",32.81291347921279,32.84982182864155,32.84982182864155,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f26c82d56f5b9303c8d5ac1586d26a,Plantation Place Dallas RV Park,rv_park,TX,3,open_space,3b,large_outdoor,32.8323288,-96.5659463,32.832040320662905,-96.5659463,0.9,"The pin is placed at the main access point of the RV park, which appears to be the entrance area where vehicles can enter and exit.",gpt-4o-mini,,,,32.832040320662905,-96.5659463,0.9,,shared,,,,,,"345 Barnes Bridge Rd, Sunnyvale, TX, 75182-9129, US",32.07743872686597,32.113519805288604,32.113519805288604,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f266ddac22bad803f4cb082276e7ef,Swiss Haven RV Resort,rv_park,IN,3,open_space,3b,large_outdoor,38.7107424,-85.1255632,38.71047450196015,-85.1255632,0.9,"The pin is placed near the main access point of the RV park, which appears to be the parking lot entrance visible in the image.",gpt-4o-mini,,,,38.71047450196015,-85.1255632,0.9,,shared,,,,,,"4612 E State Road 56, Vevay, IN, 47043, US",29.78890288924297,29.82240979625658,29.82240979625658,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f44d51326a1cee03c709f6ec84b831,Spark by Hilton Savannah Airport,hotel,GA,1,standard_commercial,1b,large_standalone,32.1406923,-81.2336338,32.14094666709847,-81.2336338,0.9,"The main entrance of the hotel is located on the street-facing facade, which is visible in the imagery. The pin is placed close to the door, indicating the pedestrian entry.",gpt-4o-mini,32.14094666709847,-81.2336338,0.9,32.1404015947446,-81.2336338,0.9,"The primary car entry point is visible as the driveway leading into the parking lot from the road, located directly in front of the hotel.",both,,,,,,"15 Jay R Turner Dr, Savannah, GA, 31408, US",28.28433085507587,28.316145401759343,28.316145401759343,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f2884518641b7303b3138b48c9b3d3,Anderson Ranch Reservoir,campground,ID,3,open_space,3b,large_outdoor,43.3573953,-115.4486953,43.357223683627765,-115.44845926668638,0.9,"The pin is placed near the main access point to the campground, which appears to be the parking area near the water's edge, providing clear access for visitors.",gpt-4o-mini,,,,43.357223683627765,-115.44845926668638,0.9,,shared,,,,,,"Mountain Home, ID, US",26.98727253332749,27.017628134200848,38.208696130530186,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f4649589d05a4003d89cadf70517a8,Bellows Camp Site,campground,,3,open_space,3b,large_outdoor,21.369962,-157.709562,21.369742194689767,-157.709562,0.8,"The pin is placed near the main access point for the campground, which appears to be close to the parking area and the entrance to the site.",gpt-4o-mini,,,,21.369742194689767,-157.709562,0.8,,shared,,,,,,"448 Tinker Rd, 96795, US",24.44123534761406,24.468727135251385,24.468727135251385,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f298cb02d756e003246b5863f62d32,"Lake George Camp Ground, Mammoth Lakes, California",campground,CA,3,open_space,3b,large_outdoor,37.6025368,-119.0096356,37.60264730022063,-119.00939956668638,0.8,"The pin is placed near the main access point, which appears to be a parking lot entrance leading into the campground area.",gpt-4o-mini,,,,37.60264730022063,-119.00939956668638,0.8,,shared,,,,,,"Mammoth Lakes, CA, US",24.15244584761703,24.179612802160328,33.11775066172538,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f26927718a557303181d9de1abc2ae,Oak Creek Rec Site Campground,campground,,3,open_space,3b,large_outdoor,39.3503898,-112.2648579,39.35020727948128,-112.26499737423076,0.8,"The pin is placed near the main access point visible on the road leading into the campground area, which appears to be the most prominent entry point for visitors.",gpt-4o-mini,,,,39.35020727948128,-112.26499737423076,0.8,,shared,,,,,,"Fishlake National Forest, Forest Rd 412, 84649, US",23.573861282893176,23.6003774384424,32.32439954750332,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
08f441305256450603596e4dfefc80fb,Sun Resorts & Residences Ft. Myers Beach,campground,FL,3,open_space,3b,large_outdoor,26.48895,-81.9432,26.488738745369663,-81.9432,0.8,"The pin is placed at the main access point along San Carlos Blvd, which appears to be the most prominent entry for visitors to the campground.",gpt-4o-mini,,,,26.488738745369663,-81.9432,0.8,,shared,,,,,,"17340 San Carlos Blvd, Fort Myers Beach, FL, 33931, US",23.490443123200976,23.51686544866979,23.51686544866979,complex,high,True,16,multi_pin_category;multi_pin_name_signal;high_ambiguity;offset_ge_20m;large_place_signal,True,,
